txn_id,date,amount,narration,type
T000001,2026-09-06,12880.95,ICICI/MMT/IMPS/IMPSP20003/PG PAYOUT/MERCHANT001,credit
T000003,2026-09-19,3089.07,BY TRANSFER-NEFT*9100039*PAYMENT GATEWAY,credit
T000004,2026-09-26,22949.17,NEFT CR-HDFC0000123-MERCHANT004-RRN4400028-SETTLEMENT,credit
T000006,2026-09-04,17150.48,AXIS NET STLMT AXIS8800066 CR,credit
T000007,2026-09-19,9472.29,BY TRANSFER-NEFT*9100091*PAYMENT GATEWAY,credit
T000008,2026-09-20,16795.66,NEFT CR-HDFC0000123-MERCHANT008-RRN4400056-SETTLEMENT,credit
T000009,2026-09-09,5103.71,ICICI/MMT/IMPS/IMPSP20027/PG PAYOUT/MERCHANT009,credit
T000010,2026-09-20,24809.12,AXIS NET STLMT AXIS8800110 CR,credit
T000011,2026-09-20,37137.38,BY TRANSFER-NEFT*9100143*PAYMENT GATEWAY,credit
T000012,2026-09-03,23056.23,NEFT CR-HDFC0000123-MERCHANT012-RRN4400084-SETTLEMENT,credit
T000013,2026-09-03,38247.26,ICICI/MMT/IMPS/IMPSP20039/PG PAYOUT/MERCHANT013,credit
T000014,2026-09-06,21933.51,AXIS NET STLMT AXIS8800154 CR,credit
T000015,2026-09-06,11550.33,BY TRANSFER-NEFT*9100195*PAYMENT GATEWAY,credit
T000016,2026-09-20,21312.24,NEFT CR-HDFC0000123-MERCHANT016-RRN4400112-SETTLEMENT,credit
T000017,2026-09-23,12284.1,ICICI/MMT/IMPS/IMPSP20051/PG PAYOUT/MERCHANT017,credit
T000018,2026-09-20,7316.94,AXIS NET STLMT AXIS8800198 CR,credit
T000019,2026-09-08,22498.8,BY TRANSFER-NEFT*9100247*PAYMENT GATEWAY,credit
T000020,2026-09-19,14769.16,NEFT CR-HDFC0000123-MERCHANT020-RRN4400140-SETTLEMENT,credit
T000021,2026-09-20,27977.27,ICICI/MMT/IMPS/IMPSP20063/PG PAYOUT/MERCHANT021,credit
T000022,2026-09-08,2607.57,AXIS NET STLMT AXIS8800242 CR,credit
T000023,2026-09-19,19590.97,BY TRANSFER-NEFT*9100299*PAYMENT GATEWAY,credit
T000024,2026-09-12,12596.28,NEFT CR-HDFC0000123-MERCHANT024-RRN4400168-SETTLEMENT,credit
T000025,2026-09-16,18392.95,ICICI/MMT/IMPS/IMPSP20075/PG PAYOUT/MERCHANT025,credit
T000027,2026-09-24,31103.5,BY TRANSFER-NEFT*9100351*PAYMENT GATEWAY,credit
T000028,2026-09-19,3472.8,NEFT CR-HDFC0000123-MERCHANT028-RRN4400196-SETTLEMENT,credit
T000030,2026-09-11,28651.24,AXIS NET STLMT AXIS8800330 CR,credit
T000031,2026-09-04,23791.71,BY TRANSFER-NEFT*9100403*PAYMENT GATEWAY,credit
T000032,2026-09-15,4880.68,NEFT CR-HDFC0000123-MERCHANT032-RRN4400224-SETTLEMENT,credit
T000033,2026-09-12,6704.03,ICICI/MMT/IMPS/IMPSP20099/PG PAYOUT/MERCHANT033,credit
T000034,2026-09-17,6199.46,AXIS NET STLMT AXIS8800374 CR,credit
T000035,2026-09-23,16685.98,BY TRANSFER-NEFT*9100455*PAYMENT GATEWAY,credit
T000036,2026-09-19,3308.16,NEFT CR-HDFC0000123-MERCHANT036-RRN4400252-SETTLEMENT,credit
T000037,2026-09-12,22569.63,ICICI/MMT/IMPS/IMPSP20111/PG PAYOUT/MERCHANT037,credit
T000038,2026-09-13,13514.29,AXIS NET STLMT AXIS8800418 CR,credit
T000039,2026-09-20,23399.48,BY TRANSFER-NEFT*9100507*PAYMENT GATEWAY,credit
T000040,2026-09-04,31273.58,NEFT CR-HDFC0000123-MERCHANT040-RRN4400280-SETTLEMENT,credit
T000041,2026-09-10,32948.37,ICICI/MMT/IMPS/IMPSP20123/PG PAYOUT/MERCHANT041,credit
T000042,2026-09-23,18723.3,AXIS NET STLMT AXIS8800462 CR,credit
T000043,2026-09-25,2817.48,BY TRANSFER-NEFT*9100559*PAYMENT GATEWAY,credit
T000044,2026-09-22,27564.41,NEFT CR-HDFC0000123-MERCHANT044-RRN4400308-SETTLEMENT,credit
T000045,2026-09-23,22760.93,ICICI/MMT/IMPS/IMPSP20135/PG PAYOUT/MERCHANT045,credit
T000046,2026-09-11,32246.86,AXIS NET STLMT AXIS8800506 CR,credit
T000047,2026-09-23,28152.89,BY TRANSFER-NEFT*9100611*PAYMENT GATEWAY,credit
T000048,2026-09-16,10262.87,NEFT CR-HDFC0000123-MERCHANT048-RRN4400336-SETTLEMENT,credit
T000049,2026-09-21,14110.78,ICICI/MMT/IMPS/IMPSP20147/PG PAYOUT/MERCHANT049,credit
T000051,2026-09-11,8753.88,BY TRANSFER-NEFT*9100663*PAYMENT GATEWAY,credit
T000052,2026-09-22,9917.58,NEFT CR-HDFC0000123-MERCHANT052-RRN4400364-SETTLEMENT,credit
T000054,2026-09-16,3423.29,AXIS NET STLMT AXIS8800594 CR,credit
T000055,2026-09-10,15731.28,BY TRANSFER-NEFT*9100715*PAYMENT GATEWAY,credit
T000056,2026-09-15,34636.4,NEFT CR-HDFC0000123-MERCHANT056-RRN4400392-SETTLEMENT,credit
