ledger_id,order_id,customer,amount,date,status
L00001,INV-2026-00001,MERCHANT001,13156.16,2026-09-05,captured
L00002,INV-2026-00002,MERCHANT002,15974.49,2026-09-02,captured
L00003,INV-2026-00003,MERCHANT003,3175.72,2026-09-18,captured
L00004,INV-2026-00004,MERCHANT004,23436.68,2026-09-17,captured
L00005,INV-2026-00005,MERCHANT005,8823.52,2026-09-03,captured
L00006,INV-2026-00006,MERCHANT006,18015.73,2026-09-03,captured
L00007,INV-2026-00007,MERCHANT007,9854.32,2026-09-18,captured
L00008,INV-2026-00008,MERCHANT008,17153.41,2026-09-19,captured
L00009,INV-2026-00009,MERCHANT009,5214.94,2026-09-08,captured
L00010,INV-2026-00010,MERCHANT010,25335.85,2026-09-19,captured
L00011,INV-2026-00011,MERCHANT011,37924.05,2026-09-19,captured
L00012,INV-2026-00012,MERCHANT012,23545.99,2026-09-02,captured
L00013,INV-2026-00013,MERCHANT013,39057.33,2026-09-02,captured
L00014,INV-2026-00014,MERCHANT014,22399.6,2026-09-05,captured
L00015,INV-2026-00015,MERCHANT015,11797.49,2026-09-05,captured
L00016,INV-2026-00016,MERCHANT016,21765.23,2026-09-19,captured
L00017,INV-2026-00017,MERCHANT017,12546.73,2026-09-22,captured
L00018,INV-2026-00018,MERCHANT018,7474.84,2026-09-19,captured
L00019,INV-2026-00019,MERCHANT019,22976.81,2026-09-07,captured
L00020,INV-2026-00020,MERCHANT020,15084.18,2026-09-18,captured
L00021,INV-2026-00021,MERCHANT021,28570.8,2026-09-19,captured
L00022,INV-2026-00022,MERCHANT022,2666.17,2026-09-07,captured
L00023,INV-2026-00023,MERCHANT023,20007.66,2026-09-18,captured
L00024,INV-2026-00024,MERCHANT024,17275.41,2026-09-11,captured
L00025,INV-2026-00025,MERCHANT025,18784.39,2026-09-15,captured
L00026,INV-2026-00026,MERCHANT026,14654.82,2026-09-08,captured
L00027,INV-2026-00027,MERCHANT027,31836.87,2026-09-23,captured
L00028,INV-2026-00028,MERCHANT028,3549.64,2026-09-10,captured
L00029,INV-2026-00029,MERCHANT029,21150.3,2026-09-11,captured
L00030,INV-2026-00030,MERCHANT030,29758.98,2026-09-10,captured
L00031,INV-2026-00031,MERCHANT031,24475.67,2026-09-03,captured
L00032,INV-2026-00032,MERCHANT032,4987.21,2026-09-14,captured
L00033,INV-2026-00033,MERCHANT033,6849.0,2026-09-11,captured
L00034,INV-2026-00034,MERCHANT034,6333.79,2026-09-16,captured
L00035,INV-2026-00035,MERCHANT035,17041.42,2026-09-22,captured
L00036,INV-2026-00036,MERCHANT036,3381.53,2026-09-18,captured
L00037,INV-2026-00037,MERCHANT037,23049.13,2026-09-11,captured
L00038,INV-2026-00038,MERCHANT038,13802.86,2026-09-12,captured
L00039,INV-2026-00039,MERCHANT039,23896.48,2026-09-19,captured
L00040,INV-2026-00040,MERCHANT040,31936.61,2026-09-03,captured
L00041,INV-2026-00041,MERCHANT041,33646.72,2026-09-09,captured
L00042,INV-2026-00042,MERCHANT042,19121.7,2026-09-22,captured
L00043,INV-2026-00043,MERCHANT043,2880.5,2026-09-24,captured
L00044,INV-2026-00044,MERCHANT044,28149.23,2026-09-21,captured
L00045,INV-2026-00045,MERCHANT045,23244.47,2026-09-22,captured
L00046,INV-2026-00046,MERCHANT046,32930.41,2026-09-10,captured
L00047,INV-2026-00047,MERCHANT047,28750.12,2026-09-22,captured
L00048,INV-2026-00048,MERCHANT048,14076.11,2026-09-15,captured
L00049,INV-2026-00049,MERCHANT049,14411.93,2026-09-20,captured
L00050,INV-2026-00050,MERCHANT050,4948.7,2026-09-02,captured
L00051,INV-2026-00051,MERCHANT051,8962.85,2026-09-10,captured
L00052,INV-2026-00052,MERCHANT052,10130.31,2026-09-13,captured
L00053,INV-2026-00053,MERCHANT053,36697.6,2026-09-16,captured
L00054,INV-2026-00054,MERCHANT054,3999.08,2026-09-15,captured
L00055,INV-2026-00055,MERCHANT055,16245.28,2026-09-09,captured
L00056,INV-2026-00056,MERCHANT056,35370.34,2026-09-14,captured
L00057,INV-2026-00057,MERCHANT057,34600.18,2026-09-09,captured
L00058,INV-2026-00058,MERCHANT058,28343.95,2026-09-12,captured
L00059,INV-2026-00059,MERCHANT059,27404.11,2026-09-13,captured
L00060,INV-2026-00060,MERCHANT060,38321.93,2026-09-05,captured
