settlement_id,payment_id,order_id,gross_amount,fee,tax,refund_amount,settled_amount,settlement_date,utr
S00001A,P00001,INV-2026-00001,13156.16,233.23,41.98,0.0,12880.95,2026-09-06,IMPSP20003
S00001,P00001,INV-2026-00001,13156.16,233.23,41.98,0.0,12880.95,2026-09-06,IMPSP20003
S00003,P00003,INV-2026-00003,3175.72,58.58,10.54,0.0,3089.07,2026-09-19,9100039
S00004,P00004,INV-2026-00004,23436.68,413.14,74.37,0.0,22949.17,2026-09-18,RRN4400028
S00005,P00005,INV-2026-00005,8823.52,157.41,28.33,0.0,8637.78,2026-09-04,IMPSP20015
S00006,P00006,INV-2026-00006,17515.73,309.53,55.72,0.0,17150.48,2026-09-04,AXIS8800066
S00007,P00007,INV-2026-00007,9854.32,175.45,31.58,0.0,9647.29,2026-09-19,9100091
S00008,P00008,INV-2026-00008,17153.41,303.18,54.57,0.0,16795.66,2026-09-20,RRN4400056
S00009,P00009,INV-2026-00009,5214.94,94.26,16.97,0.0,5103.71,2026-09-09,IMPSP20027
S00010,P00010,INV-2026-00010,25335.85,446.38,80.35,0.0,24809.12,2026-09-20,AXIS8800110
S00011,P00011,INV-2026-00011,37924.05,666.67,120.0,0.0,37137.38,2026-09-20,9100143
S00012,P00012,INV-2026-00012,23545.99,415.05,74.71,0.0,23056.23,2026-09-03,RRN4400084
S00013,P00013,INV-2026-00013,39057.33,686.5,123.57,0.0,38247.26,2026-09-03,IMPSP20039
S00014,P00014,INV-2026-00014,22399.6,394.99,71.1,0.0,21933.51,2026-09-06,AXIS8800154
S00015,P00015,INV-2026-00015,11797.49,209.46,37.7,0.0,11550.33,2026-09-06,9100195
S00016,P00016,INV-2026-00016,21765.23,383.89,69.1,0.0,21312.24,2026-09-20,RRN4400112
S00017,P00017,INV-2026-00017,12546.73,222.57,40.06,0.0,12284.1,2026-09-23,IMPSP20051
S00018,P00018,INV-2026-00018,7474.84,133.81,24.09,0.0,7316.94,2026-09-20,AXIS8800198
S00019,P00019,INV-2026-00019,22976.81,405.09,72.92,0.0,22498.8,2026-09-08,9100247
S00020,P00020,INV-2026-00020,15084.18,266.97,48.05,0.0,14769.16,2026-09-19,RRN4400140
S00021,P00021,INV-2026-00021,28570.8,502.99,90.54,0.0,27977.27,2026-09-20,IMPSP20063
S00022,P00022,INV-2026-00022,2666.17,49.66,8.94,0.0,2607.57,2026-09-08,AXIS8800242
S00023,P00023,INV-2026-00023,20007.66,353.13,63.56,0.0,19590.97,2026-09-19,9100299
S00024,P00024,INV-2026-00024,17275.41,305.32,54.96,4318.85,12596.28,2026-09-12,RRN4400168
S00025A,P00025,INV-2026-00025,18784.39,331.73,59.71,0.0,18392.95,2026-09-16,IMPSP20075
S00025,P00025,INV-2026-00025,18784.39,331.73,59.71,0.0,18392.95,2026-09-16,IMPSP20075
S00027,P00027,INV-2026-00027,31836.87,560.15,100.83,0.0,31103.5,2026-09-24,9100351
S00028,P00028,INV-2026-00028,3549.64,65.12,11.72,0.0,3472.8,2026-09-11,RRN4400196
S00029,P00029,INV-2026-00029,21150.3,373.13,67.16,0.0,20710.01,2026-09-12,IMPSP20087
S00030,P00030,INV-2026-00030,29258.98,515.03,92.71,0.0,28651.24,2026-09-11,AXIS8800330
S00031,P00031,INV-2026-00031,24475.67,431.32,77.64,0.0,23966.71,2026-09-04,9100403
S00032,P00032,INV-2026-00032,4987.21,90.28,16.25,0.0,4880.68,2026-09-15,RRN4400224
S00033,P00033,INV-2026-00033,6849.0,122.86,22.11,0.0,6704.03,2026-09-12,IMPSP20099
S00034,P00034,INV-2026-00034,6333.79,113.84,20.49,0.0,6199.46,2026-09-17,AXIS8800374
S00035,P00035,INV-2026-00035,17041.42,301.22,54.22,0.0,16685.98,2026-09-23,9100455
S00036,P00036,INV-2026-00036,3381.53,62.18,11.19,0.0,3308.16,2026-09-19,RRN4400252
S00037,P00037,INV-2026-00037,23049.13,406.36,73.14,0.0,22569.63,2026-09-12,IMPSP20111
S00038,P00038,INV-2026-00038,13802.86,244.55,44.02,0.0,13514.29,2026-09-13,AXIS8800418
S00039,P00039,INV-2026-00039,23896.48,421.19,75.81,0.0,23399.48,2026-09-20,9100507
S00040,P00040,INV-2026-00040,31936.61,561.89,101.14,0.0,31273.58,2026-09-04,RRN4400280
S00041,P00041,INV-2026-00041,33646.72,591.82,106.53,0.0,32948.37,2026-09-10,IMPSP20123
S00042,P00042,INV-2026-00042,19121.7,337.63,60.77,0.0,18723.3,2026-09-23,AXIS8800462
S00043,P00043,INV-2026-00043,2880.5,53.41,9.61,0.0,2817.48,2026-09-25,9100559
S00044,P00044,INV-2026-00044,28149.23,495.61,89.21,0.0,27564.41,2026-09-22,RRN4400308
S00045,P00045,INV-2026-00045,23244.47,409.78,73.76,0.0,22760.93,2026-09-23,IMPSP20135
S00046,P00046,INV-2026-00046,32930.41,579.28,104.27,0.0,32246.86,2026-09-11,AXIS8800506
S00047,P00047,INV-2026-00047,28750.12,506.13,91.1,0.0,28152.89,2026-09-23,9100611
S00048,P00048,INV-2026-00048,14076.11,249.33,44.88,3519.03,10262.87,2026-09-16,RRN4400336
S00049A,P00049,INV-2026-00049,14411.93,255.21,45.94,0.0,14110.78,2026-09-21,IMPSP20147
S00049,P00049,INV-2026-00049,14411.93,255.21,45.94,0.0,14110.78,2026-09-21,IMPSP20147
S00051,P00051,INV-2026-00051,8962.85,159.85,28.77,0.0,8753.88,2026-09-11,9100663
S00052,P00052,INV-2026-00052,10130.31,180.28,32.45,0.0,9917.58,2026-09-14,RRN4400364
S00053,P00053,INV-2026-00053,36697.6,645.21,116.14,0.0,35936.25,2026-09-17,IMPSP20159
S00054,P00054,INV-2026-00054,3499.08,64.23,11.56,0.0,3423.29,2026-09-16,AXIS8800594
S00055,P00055,INV-2026-00055,16245.28,287.29,51.71,0.0,15906.28,2026-09-10,9100715
S00056,P00056,INV-2026-00056,35370.34,621.98,111.96,0.0,34636.4,2026-09-15,RRN4400392
S00057,P00057,INV-2026-00057,34600.18,608.5,109.53,0.0,33882.15,2026-09-10,IMPSP20171
S00058,P00058,INV-2026-00058,28343.95,499.02,89.82,0.0,27755.11,2026-09-13,AXIS8800638
S00059,P00059,INV-2026-00059,27404.11,482.57,86.86,0.0,26834.68,2026-09-14,9100767
S00060,P00060,INV-2026-00060,38321.93,673.63,121.25,0.0,37527.05,2026-09-06,RRN4400420
