txn_id,date,amount,narration,type
bnk_000001,2026-08-03,15784.44,RAZORPAY SETTLEMENT UTR:UTR100001 ORD:order_000001,credit
bnk_000010,2026-08-03,10850.25,RAZORPAY SETTLEMENT UTR:UTR100011 ORD:order_000011,credit
bnk_000004,2026-08-04,14613.85,NEFT-RZPY-100005/settlemnt,credit
bnk_000016,2026-08-04,6816.01,IMPS/cust_0018/razorpay payout ref UTR100018,credit
bnk_000031,2026-08-04,16865.41,RAZORPAY SETTLEMENT UTR:UTR100037 ORD:order_000037,credit
bnk_000020,2026-08-05,9905.97,RAZORPAY SETTLEMENT UTR:UTR100024 ORD:order_000024,credit
bnk_000002,2026-08-06,5799.12,RAZORPAY SETTLEMENT UTR:UTR100003 ORD:order_000003,credit
bnk_000022,2026-08-06,20930.63,RAZORPAY SETTLEMENT UTR:UTR100027 ORD:order_000027,credit
bnk_000042,2026-08-06,18557.52,RAZORPAY SETTLEMENT UTR:UTR100051 ORD:order_000051,credit
bnk_000041,2026-08-07,24346.03,RAZORPAY SETTLEMENT UTR:UTR100049 ORD:order_000049,credit
bnk_000011,2026-08-08,12913.0,RAZORPAY SETTLEMENT UTR:UTR100012 ORD:order_000012,credit
bnk_000005,2026-08-09,1201.0,IMPS/cust_0006/razorpay payout ref UTR100006,credit
bnk_000007,2026-08-09,1122.99,RAZORPAY SETTLEMENT UTR:UTR100008 ORD:order_000008,credit
bnk_000021,2026-08-10,1584.41,RAZORPAY SETTLEMENT UTR:UTR100025 ORD:order_000025,credit
bnk_000027,2026-08-10,4582.15,CR/ONLINE TRF/paymnt gateway aug batch/no ref quoted,credit
bnk_000030,2026-08-10,11742.28,RAZORPAY SETTLEMENT UTR:UTR100036 ORD:order_000036,credit
bnk_000040,2026-08-10,6956.98,RAZORPAY SETTLEMENT UTR:UTR100048 ORD:order_000048,credit
bnk_000025,2026-08-11,5499.98,IMPS/cust_0030/razorpay payout ref UTR100030,credit
bnk_000037,2026-08-11,11464.76,RAZORPAY SETTLEMENT UTR:UTR100044 ORD:order_000044,credit
bnk_000003,2026-08-13,21830.74,RAZORPAY SETTLEMENT UTR:UTR100004 ORD:order_000004,credit
bnk_000012,2026-08-13,17188.95,RAZORPAY SETTLEMENT UTR:UTR100013 ORD:order_000013,credit
bnk_000013,2026-08-13,23377.88,RAZORPAY SETTLEMENT UTR:UTR100015 ORD:order_000015,credit
bnk_000034,2026-08-13,21452.49,NEFT-RZPY-100041/settlemnt,credit
bnk_000019,2026-08-14,21669.8,RAZORPAY SETTLEMENT UTR:UTR100023 ORD:order_000023,credit
bnk_000024,2026-08-14,4379.18,NEFT-RZPY-100029/settlemnt,credit
bnk_000017,2026-08-15,3474.27,RAZORPAY SETTLEMENT UTR:UTR100020 ORD:order_000020,credit
bnk_000028,2026-08-15,4397.08,RAZORPAY SETTLEMENT UTR:UTR100034 ORD:order_000034,credit
bnk_000032,2026-08-15,19731.98,RAZORPAY SETTLEMENT UTR:UTR100039 ORD:order_000039,credit
bnk_000044,2026-08-15,14755.38,NEFT-RZPY-100053/settlemnt,credit
bnk_000009,2026-08-17,10523.88,RAZORPAY SETTLEMENT UTR:UTR100010 ORD:order_000010,credit
bnk_000045,2026-08-17,9617.22,IMPS/cust_0054/razorpay payout ref UTR100054,credit
bnk_000035,2026-08-18,5574.61,IMPS/cust_0042/razorpay payout ref UTR100042,credit
bnk_000008,2026-08-20,17616.68,CR/ONLINE TRF/paymnt gateway aug batch/no ref quoted,credit
bnk_000038,2026-08-21,13381.5,RAZORPAY SETTLEMENT UTR:UTR100046 ORD:order_000046,credit
bnk_000039,2026-08-21,10737.11,RAZORPAY SETTLEMENT UTR:UTR100047 ORD:order_000047,credit
bnk_000014,2026-08-22,9576.75,RAZORPAY SETTLEMENT UTR:UTR100016 ORD:order_000016,credit
bnk_000015,2026-08-22,20761.79,NEFT-RZPY-100017/settlemnt,credit
bnk_000018,2026-08-22,20329.05,RAZORPAY SETTLEMENT UTR:UTR100022 ORD:order_000022,credit
bnk_000023,2026-08-22,11334.59,RAZORPAY SETTLEMENT UTR:UTR100028 ORD:order_000028,credit
bnk_000006,2026-08-23,41275.58,"RAZORPAY SETTLEMENT UTR:UTR700007 BATCH OF 3 [order_000007,order_000019,order_000031]",credit
bnk_000026,2026-08-23,2196.27,RAZORPAY SETTLEMENT UTR:UTR100032 ORD:order_000032,credit
bnk_000029,2026-08-23,5167.41,RAZORPAY SETTLEMENT UTR:UTR100035 ORD:order_000035,credit
bnk_000036,2026-08-23,23097.99,"RAZORPAY SETTLEMENT UTR:UTR700043 BATCH OF 2 [order_000043,order_000055]",credit
bnk_000043,2026-08-24,4315.26,RAZORPAY SETTLEMENT UTR:UTR100052 ORD:order_000052,credit
bnk_000033,2026-08-29,5535.29,RAZORPAY SETTLEMENT UTR:UTR100040 ORD:order_000040,credit
