ledger_id,order_id,customer,amount,date,status
led_000001,order_000001,cust_0001,16165.96,2026-08-01,paid
led_000002,order_000002,cust_0002,18667.99,2026-08-08,paid
led_000003,order_000003,cust_0003,5968.66,2026-08-04,paid
led_000004,order_000004,cust_0004,22358.4,2026-08-03,paid
led_000005,order_000005,cust_0005,14967.07,2026-08-02,paid
led_000006,order_000006,cust_0006,1230.03,2026-08-07,paid
led_000007,order_000007,cust_0007,6200.19,2026-08-20,paid
led_000008,order_000008,cust_0008,1150.13,2026-08-07,paid
led_000009,order_000009,cust_0009,18042.48,2026-08-18,paid
led_000010,order_000010,cust_0010,10778.24,2026-08-15,paid
led_000011,order_000011,cust_0011,11202.76,2026-08-01,partially_refunded
led_000012,order_000012,cust_0012,19090.78,2026-08-06,paid
led_000013,order_000013,cust_0013,17604.42,2026-08-11,paid
led_000014,order_000014,cust_0014,7307.85,2026-08-07,paid
led_000015,order_000015,cust_0015,23951.72,2026-08-11,paid
led_000016,order_000016,cust_0016,9808.22,2026-08-12,paid
led_000017,order_000017,cust_0017,21263.61,2026-08-20,paid
led_000018,order_000018,cust_0018,6980.76,2026-08-02,paid
led_000019,order_000019,cust_0019,18378.43,2026-08-18,paid
led_000020,order_000020,cust_0020,4308.24,2026-08-13,paid
led_000021,order_000021,cust_0021,2430.6,2026-08-10,paid
led_000022,order_000022,cust_0022,20820.41,2026-08-20,paid
led_000023,order_000023,cust_0023,22193.57,2026-08-12,paid
led_000024,order_000024,cust_0024,14645.13,2026-08-03,paid
led_000025,order_000025,cust_0025,1622.7,2026-08-08,paid
led_000026,order_000026,cust_0026,19440.17,2026-08-03,paid
led_000027,order_000027,cust_0027,21455.28,2026-08-04,paid
led_000028,order_000028,cust_0028,11608.55,2026-08-12,paid
led_000029,order_000029,cust_0029,4485.03,2026-08-12,paid
led_000030,order_000030,cust_0030,5632.92,2026-08-09,paid
led_000031,order_000031,cust_0031,17694.6,2026-08-21,paid
led_000032,order_000032,cust_0032,2249.36,2026-08-21,paid
led_000033,order_000033,cust_0033,4692.9,2026-08-08,paid
led_000034,order_000034,cust_0034,4503.36,2026-08-13,paid
led_000035,order_000035,cust_0035,5335.29,2026-08-21,partially_refunded
led_000036,order_000036,cust_0036,17359.97,2026-08-08,paid
led_000037,order_000037,cust_0037,17273.05,2026-08-02,paid
led_000038,order_000038,cust_0038,6111.68,2026-08-02,paid
led_000039,order_000039,cust_0039,20223.62,2026-08-13,paid
led_000040,order_000040,cust_0040,5669.08,2026-08-19,paid
led_000041,order_000041,cust_0041,21971.01,2026-08-11,paid
led_000042,order_000042,cust_0042,5709.35,2026-08-16,paid
led_000043,order_000043,cust_0043,10192.98,2026-08-21,paid
led_000044,order_000044,cust_0044,11741.87,2026-08-09,paid
led_000045,order_000045,cust_0045,3920.94,2026-08-18,paid
led_000046,order_000046,cust_0046,13704.94,2026-08-19,paid
led_000047,order_000047,cust_0047,10996.63,2026-08-19,paid
led_000048,order_000048,cust_0048,10285.31,2026-08-08,paid
led_000049,order_000049,cust_0049,24934.48,2026-08-05,paid
led_000050,order_000050,cust_0050,12983.39,2026-08-03,paid
led_000051,order_000051,cust_0051,19016.66,2026-08-04,paid
led_000052,order_000052,cust_0052,4419.56,2026-08-14,paid
led_000053,order_000053,cust_0053,15112.02,2026-08-13,paid
led_000054,order_000054,cust_0054,9849.67,2026-08-15,paid
led_000055,order_000055,cust_0055,13463.3,2026-08-18,paid
