settlement_id,payment_id,order_id,gross_amount,fee,tax,refund_amount,settled_amount,settlement_date,utr
stl_000001,pay_000001,order_000001,16165.96,323.32,58.2,0.0,15784.44,2026-08-03,UTR100001
stl_000002,pay_000001,order_000001,16165.96,323.32,58.2,0.0,15784.44,2026-08-03,UTR100001
stl_000003,pay_000003,order_000003,5968.66,119.37,21.49,0.0,5799.12,2026-08-06,UTR100003
stl_000004,pay_000004,order_000004,22358.4,447.17,80.49,0.0,21830.74,2026-08-05,UTR100004
stl_000005,pay_000005,order_000005,14967.07,299.34,53.88,0.0,14613.85,2026-08-04,UTR100005
stl_000006,pay_000006,order_000006,1230.03,24.6,4.43,0.0,1201.0,2026-08-09,UTR100006
stl_000007,pay_000007,order_000007,6200.19,124.0,22.32,0.0,6053.87,2026-08-22,UTR700007
stl_000008,pay_000008,order_000008,1150.13,23.0,4.14,0.0,1122.99,2026-08-09,UTR100008
stl_000009,pay_000009,order_000009,18042.48,360.85,64.95,0.0,17616.68,2026-08-20,UTR100009
stl_000010,pay_000010,order_000010,10778.24,215.56,38.8,0.0,10523.88,2026-08-17,UTR100010
stl_000011,pay_000011,order_000011,14937.01,298.74,53.77,3734.25,10850.25,2026-08-03,UTR100011
stl_000012,pay_000012,order_000012,19090.78,381.82,68.73,5727.23,12913.0,2026-08-08,UTR100012
stl_000013,pay_000013,order_000013,17604.42,352.09,63.38,0.0,17188.95,2026-08-13,UTR100013
stl_000014,pay_000013,order_000013,17604.42,352.09,63.38,0.0,17188.95,2026-08-13,UTR100013
stl_000015,pay_000015,order_000015,23951.72,479.03,86.23,0.0,23377.88,2026-08-13,UTR100015
stl_000016,pay_000016,order_000016,9808.22,196.16,35.31,0.0,9576.75,2026-08-14,UTR100016
stl_000017,pay_000017,order_000017,21263.61,425.27,76.55,0.0,20761.79,2026-08-22,UTR100017
stl_000018,pay_000018,order_000018,6980.76,139.62,25.13,0.0,6816.01,2026-08-04,UTR100018
stl_000019,pay_000019,order_000019,18378.43,367.57,66.16,0.0,17944.7,2026-08-20,UTR700007
stl_000020,pay_000020,order_000020,3558.24,71.16,12.81,0.0,3474.27,2026-08-15,UTR100020
stl_000021,pay_000021,order_000021,2430.6,48.61,8.75,0.0,2373.24,2026-08-12,UTR100021
stl_000022,pay_000022,order_000022,20820.41,416.41,74.95,0.0,20329.05,2026-08-22,UTR100022
stl_000023,pay_000023,order_000023,22193.57,443.87,79.9,0.0,21669.8,2026-08-14,UTR100023
stl_000024,pay_000024,order_000024,14645.13,292.9,52.72,4393.54,9905.97,2026-08-05,UTR100024
stl_000025,pay_000025,order_000025,1622.7,32.45,5.84,0.0,1584.41,2026-08-10,UTR100025
stl_000026,pay_000025,order_000025,1622.7,32.45,5.84,0.0,1584.41,2026-08-10,UTR100025
stl_000027,pay_000027,order_000027,21455.28,429.11,77.24,0.0,20930.63,2026-08-06,UTR100027
stl_000028,pay_000028,order_000028,11608.55,232.17,41.79,0.0,11334.59,2026-08-14,UTR100028
stl_000029,pay_000029,order_000029,4485.03,89.7,16.15,0.0,4379.18,2026-08-14,UTR100029
stl_000030,pay_000030,order_000030,5632.92,112.66,20.28,0.0,5499.98,2026-08-11,UTR100030
stl_000031,pay_000031,order_000031,17694.6,353.89,63.7,0.0,17277.01,2026-08-23,UTR700007
stl_000032,pay_000032,order_000032,2249.36,44.99,8.1,0.0,2196.27,2026-08-23,UTR100032
stl_000033,pay_000033,order_000033,4692.9,93.86,16.89,0.0,4582.15,2026-08-10,UTR100033
stl_000034,pay_000034,order_000034,4503.36,90.07,16.21,0.0,4397.08,2026-08-15,UTR100034
stl_000035,pay_000035,order_000035,7113.72,142.27,25.61,1778.43,5167.41,2026-08-23,UTR100035
stl_000036,pay_000036,order_000036,17359.97,347.2,62.5,5207.99,11742.28,2026-08-10,UTR100036
stl_000037,pay_000037,order_000037,17273.05,345.46,62.18,0.0,16865.41,2026-08-04,UTR100037
stl_000038,pay_000037,order_000037,17273.05,345.46,62.18,0.0,16865.41,2026-08-04,UTR100037
stl_000039,pay_000039,order_000039,20223.62,404.47,72.8,0.0,19731.98,2026-08-15,UTR100039
stl_000040,pay_000040,order_000040,5669.08,113.38,20.41,0.0,5535.29,2026-08-21,UTR100040
stl_000041,pay_000041,order_000041,21971.01,439.42,79.1,0.0,21452.49,2026-08-13,UTR100041
stl_000042,pay_000042,order_000042,5709.35,114.19,20.55,0.0,5574.61,2026-08-18,UTR100042
stl_000043,pay_000043,order_000043,10192.98,203.86,36.69,0.0,9952.43,2026-08-23,UTR700043
stl_000044,pay_000044,order_000044,11741.87,234.84,42.27,0.0,11464.76,2026-08-11,UTR100044
stl_000045,pay_000045,order_000045,3920.94,78.42,14.12,0.0,3828.4,2026-08-20,UTR100045
stl_000046,pay_000046,order_000046,13704.94,274.1,49.34,0.0,13381.5,2026-08-21,UTR100046
stl_000047,pay_000047,order_000047,10996.63,219.93,39.59,0.0,10737.11,2026-08-21,UTR100047
stl_000048,pay_000048,order_000048,10285.31,205.71,37.03,3085.59,6956.98,2026-08-10,UTR100048
stl_000049,pay_000049,order_000049,24934.48,498.69,89.76,0.0,24346.03,2026-08-07,UTR100049
stl_000050,pay_000049,order_000049,24934.48,498.69,89.76,0.0,24346.03,2026-08-07,UTR100049
stl_000051,pay_000051,order_000051,19016.66,380.33,68.46,0.0,18557.52,2026-08-06,UTR100051
stl_000052,pay_000052,order_000052,4419.56,88.39,15.91,0.0,4315.26,2026-08-16,UTR100052
stl_000053,pay_000053,order_000053,15112.02,302.24,54.4,0.0,14755.38,2026-08-15,UTR100053
stl_000054,pay_000054,order_000054,9849.67,196.99,35.46,0.0,9617.22,2026-08-17,UTR100054
stl_000055,pay_000055,order_000055,13463.3,269.27,48.47,0.0,13145.56,2026-08-20,UTR700043
stl_000056,pay_000901,order_000901,16050.92,321.02,57.78,0.0,15672.12,2026-08-03,UTR100901
stl_000057,pay_000902,order_000902,13523.97,270.48,48.69,0.0,13204.8,2026-08-06,UTR100902
