ledger_id,order_id,customer,amount,date,status
led_000001,order_000001,cust_0001,16165.96,2026-08-01,paid
led_000002,order_000002,cust_0002,18667.99,2026-08-08,paid
led_000003,order_000003,cust_0003,5968.66,2026-08-04,paid
led_000004,order_000004,cust_0004,22358.4,2026-08-03,paid
led_000005,order_000005,cust_0005,14967.07,2026-08-02,paid
led_000006,order_000006,cust_0006,1230.03,2026-08-07,paid
led_000007,order_000007,cust_0007,6200.19,2026-08-20,paid
led_000008,order_000008,cust_0008,1150.13,2026-08-07,paid
led_000009,order_000009,cust_0009,18042.48,2026-08-18,paid
led_000010,order_000010,cust_0010,10778.24,2026-08-15,paid
led_000011,order_000011,cust_0011,11202.76,2026-08-01,partially_refunded
led_000012,order_000012,cust_0012,19090.78,2026-08-06,paid
led_000013,order_000013,cust_0013,17604.42,2026-08-11,paid
led_000014,order_000014,cust_0014,7307.85,2026-08-07,paid
led_000015,order_000015,cust_0015,23951.72,2026-08-11,paid
led_000016,order_000016,cust_0016,3004.15,2026-08-13,paid
led_000017,order_000017,cust_0017,2869.55,2026-08-12,paid
led_000018,order_000018,cust_0018,15291.29,2026-08-02,paid
led_000019,order_000019,cust_0019,18378.43,2026-08-18,paid
led_000020,order_000020,cust_0020,4308.24,2026-08-13,paid
led_000021,order_000021,cust_0021,2430.6,2026-08-10,paid
led_000022,order_000022,cust_0022,20820.41,2026-08-20,paid
led_000023,order_000023,cust_0023,22193.57,2026-08-12,paid
led_000024,order_000024,cust_0024,14645.13,2026-08-03,paid
led_000025,order_000025,cust_0025,1622.7,2026-08-08,paid
led_000026,order_000026,cust_0026,19440.17,2026-08-03,paid
led_000027,order_000027,cust_0027,21455.28,2026-08-04,paid
led_000028,order_000028,cust_0028,9813.09,2026-08-15,paid
led_000029,order_000029,cust_0029,16074.27,2026-08-12,paid
led_000030,order_000030,cust_0030,4485.03,2026-08-12,paid
led_000031,order_000031,cust_0031,5632.92,2026-08-09,paid
led_000032,order_000032,cust_0032,17694.6,2026-08-21,paid
led_000033,order_000033,cust_0033,2249.36,2026-08-21,paid
led_000034,order_000034,cust_0034,4692.9,2026-08-08,paid
led_000035,order_000035,cust_0035,3377.52,2026-08-13,partially_refunded
led_000036,order_000036,cust_0036,7113.72,2026-08-21,paid
led_000037,order_000037,cust_0037,17359.97,2026-08-08,paid
led_000038,order_000038,cust_0038,17273.05,2026-08-02,paid
led_000039,order_000039,cust_0039,6111.68,2026-08-02,paid
led_000040,order_000040,cust_0040,20223.62,2026-08-13,paid
led_000041,order_000041,cust_0041,7059.65,2026-08-07,paid
led_000042,order_000042,cust_0042,22871.84,2026-08-19,paid
led_000043,order_000043,cust_0043,21971.01,2026-08-11,paid
led_000044,order_000044,cust_0044,5709.35,2026-08-16,paid
led_000045,order_000045,cust_0045,10192.98,2026-08-21,paid
led_000046,order_000046,cust_0046,11741.87,2026-08-09,paid
led_000047,order_000047,cust_0047,3920.94,2026-08-18,paid
led_000048,order_000048,cust_0048,13704.94,2026-08-19,paid
led_000049,order_000049,cust_0049,10996.63,2026-08-19,paid
led_000050,order_000050,cust_0050,10285.31,2026-08-08,paid
led_000051,order_000051,cust_0051,24934.48,2026-08-05,paid
led_000052,order_000052,cust_0052,12983.39,2026-08-03,paid
led_000053,order_000053,cust_0053,19016.66,2026-08-04,paid
led_000054,order_000054,cust_0054,4244.61,2026-08-06,paid
led_000055,order_000055,cust_0055,19905.94,2026-08-14,paid
led_000056,order_000056,cust_0056,15112.02,2026-08-13,paid
led_000057,order_000057,cust_0057,9849.67,2026-08-15,paid
led_000058,order_000058,cust_0058,13463.3,2026-08-18,paid
led_000059,order_000059,cust_0059,21589.1,2026-08-01,paid
led_000060,order_000060,cust_0060,17166.94,2026-08-04,paid
led_000061,order_000061,cust_0061,17201.9,2026-08-18,paid
led_000062,order_000062,cust_0062,18896.51,2026-08-21,paid
led_000063,order_000063,cust_0063,8834.3,2026-08-10,paid
led_000064,order_000064,cust_0064,11151.75,2026-08-15,paid
led_000065,order_000065,cust_0065,579.51,2026-08-09,paid
led_000066,order_000066,cust_0066,24311.26,2026-08-06,paid
led_000067,order_000067,cust_0067,12938.2,2026-08-04,paid
led_000068,order_000068,cust_0068,21827.7,2026-08-10,paid
led_000069,order_000069,cust_0069,21120.9,2026-08-17,paid
led_000070,order_000070,cust_0070,15419.77,2026-08-05,paid
led_000071,order_000071,cust_0071,9660.89,2026-08-06,paid
led_000072,order_000072,cust_0072,13714.79,2026-08-17,paid
led_000073,order_000073,cust_0073,23003.09,2026-08-20,paid
led_000074,order_000074,cust_0074,8441.82,2026-08-01,paid
led_000075,order_000075,cust_0075,3240.76,2026-08-12,paid
led_000076,order_000076,cust_0076,22028.69,2026-08-10,paid
led_000077,order_000077,cust_0077,6366.58,2026-08-08,paid
led_000078,order_000078,cust_0078,22011.24,2026-08-03,paid
led_000079,order_000079,cust_0079,2598.51,2026-08-16,paid
led_000080,order_000080,cust_0080,20492.57,2026-08-18,paid
led_000081,order_000081,cust_0081,19262.94,2026-08-05,paid
led_000082,order_000082,cust_0082,16663.9,2026-08-18,paid
led_000083,order_000083,cust_0083,4545.61,2026-08-17,paid
led_000084,order_000084,cust_0084,21874.61,2026-08-14,paid
led_000085,order_000085,cust_0085,24126.89,2026-08-18,paid
led_000086,order_000086,cust_0086,19004.0,2026-08-07,paid
led_000087,order_000087,cust_0087,17967.25,2026-08-13,paid
led_000088,order_000088,cust_0088,24881.16,2026-08-21,paid
led_000089,order_000089,cust_0089,9648.8,2026-08-17,paid
led_000090,order_000090,cust_0090,11561.41,2026-08-08,paid
led_000091,order_000091,cust_0091,6005.08,2026-08-11,paid
led_000092,order_000092,cust_0092,1015.34,2026-08-18,paid
led_000093,order_000093,cust_0093,6137.81,2026-08-08,paid
led_000094,order_000094,cust_0094,676.18,2026-08-21,paid
led_000095,order_000095,cust_0095,1942.41,2026-08-03,paid
led_000096,order_000096,cust_0096,22682.79,2026-08-11,paid
led_000097,order_000097,cust_0097,2236.01,2026-08-08,paid
led_000098,order_000098,cust_0098,7322.69,2026-08-16,paid
led_000099,order_000099,cust_0099,5748.8,2026-08-05,paid
led_000100,order_000100,cust_0100,18222.14,2026-08-19,paid
led_000101,order_000101,cust_0101,14617.19,2026-08-08,paid
led_000102,order_000102,cust_0102,19723.18,2026-08-14,paid
led_000103,order_000103,cust_0103,5165.04,2026-08-04,paid
led_000104,order_000104,cust_0104,16645.08,2026-08-12,paid
led_000105,order_000105,cust_0105,10877.68,2026-08-15,paid
led_000106,order_000106,cust_0106,21664.0,2026-08-02,paid
led_000107,order_000107,cust_0107,16997.43,2026-08-21,paid
led_000108,order_000108,cust_0108,2911.24,2026-08-13,paid
led_000109,order_000109,cust_0109,18341.23,2026-08-04,paid
led_000110,order_000110,cust_0110,6592.08,2026-08-07,paid
led_000111,order_000111,cust_0111,13639.0,2026-08-05,paid
led_000112,order_000112,cust_0112,10836.1,2026-08-09,paid
led_000113,order_000113,cust_0113,11834.39,2026-08-03,paid
led_000114,order_000114,cust_0114,11356.7,2026-08-18,paid
led_000115,order_000115,cust_0115,2898.76,2026-08-21,paid
led_000116,order_000116,cust_0116,24982.42,2026-08-01,paid
led_000117,order_000117,cust_0117,24240.41,2026-08-08,paid
led_000118,order_000118,cust_0118,4574.62,2026-08-16,paid
led_000119,order_000119,cust_0119,12293.28,2026-08-13,paid
led_000120,order_000120,cust_0120,22609.85,2026-08-06,paid
led_000121,order_000121,cust_0121,9784.84,2026-08-13,paid
led_000122,order_000122,cust_0122,6997.47,2026-08-15,paid
led_000123,order_000123,cust_0123,7488.61,2026-08-18,paid
led_000124,order_000124,cust_0124,16715.85,2026-08-16,paid
led_000125,order_000125,cust_0125,4292.52,2026-08-10,paid
led_000126,order_000126,cust_0126,5833.67,2026-08-02,paid
led_000127,order_000127,cust_0127,14689.92,2026-08-18,paid
led_000128,order_000128,cust_0128,1993.46,2026-08-11,paid
led_000129,order_000129,cust_0129,1900.55,2026-08-19,paid
led_000130,order_000130,cust_0130,12181.32,2026-08-17,paid
led_000131,order_000131,cust_0131,4357.1,2026-08-17,paid
led_000132,order_000132,cust_0132,2462.73,2026-08-06,paid
led_000133,order_000133,cust_0133,2178.77,2026-08-03,paid
led_000134,order_000134,cust_0134,17042.71,2026-08-08,paid
led_000135,order_000135,cust_0135,10392.5,2026-08-19,paid
led_000136,order_000136,cust_0136,6532.28,2026-08-20,paid
