settlement_id,payment_id,order_id,gross_amount,fee,tax,refund_amount,settled_amount,settlement_date,utr
stl_000001,pay_000001,order_000001,16165.96,323.32,58.2,0.0,15784.44,2026-08-03,UTR100001
stl_000002,pay_000001,order_000001,16165.96,323.32,58.2,0.0,15784.44,2026-08-03,UTR100001
stl_000003,pay_000003,order_000003,5968.66,119.37,21.49,0.0,5799.12,2026-08-06,UTR100003
stl_000004,pay_000004,order_000004,22358.4,447.17,80.49,0.0,21830.74,2026-08-05,UTR100004
stl_000005,pay_000005,order_000005,14967.07,299.34,53.88,0.0,14613.85,2026-08-04,UTR100005
stl_000006,pay_000006,order_000006,1230.03,24.6,4.43,0.0,1201.0,2026-08-09,UTR100006
stl_000007,pay_000007,order_000007,6200.19,124.0,22.32,0.0,6053.87,2026-08-22,UTR700007
stl_000008,pay_000008,order_000008,1150.13,23.0,4.14,0.0,1122.99,2026-08-09,UTR100008
stl_000009,pay_000009,order_000009,18042.48,360.85,64.95,0.0,17616.68,2026-08-20,UTR100009
stl_000010,pay_000010,order_000010,10778.24,215.56,38.8,0.0,10523.88,2026-08-17,UTR100010
stl_000011,pay_000011,order_000011,14937.01,298.74,53.77,3734.25,10850.25,2026-08-03,UTR100011
stl_000012,pay_000012,order_000012,19090.78,381.82,68.73,0.0,18640.23,2026-08-08,UTR100012
stl_000013,pay_000013,order_000013,17604.42,352.09,63.38,0.0,17188.95,2026-08-13,UTR100013
stl_000014,pay_000014,order_000014,7307.85,146.16,26.31,0.0,7135.38,2026-08-09,UTR100014
stl_000015,pay_000015,order_000015,23951.72,479.03,86.23,0.0,23386.46,2026-08-13,UTR100015
stl_000016,pay_000016,order_000016,3004.15,60.08,10.81,0.0,2933.26,2026-08-15,UTR100016
stl_000017,pay_000017,order_000017,2869.55,57.39,10.33,0.0,2801.83,2026-08-14,UTR100017
stl_000018,pay_000018,order_000018,15291.29,305.83,55.05,0.0,14930.41,2026-08-04,UTR100018
stl_000019,pay_000019,order_000019,18378.43,367.57,66.16,0.0,17944.7,2026-08-20,UTR700007
stl_000020,pay_000020,order_000020,3558.24,71.16,12.81,0.0,3474.27,2026-08-15,UTR100020
stl_000021,pay_000021,order_000021,2430.6,48.61,8.75,0.0,2373.24,2026-08-12,UTR100021
stl_000022,pay_000022,order_000022,20820.41,416.41,74.95,0.0,20329.05,2026-08-22,UTR100022
stl_000023,pay_000023,order_000023,22193.57,443.87,79.9,0.0,21669.8,2026-08-14,UTR100023
stl_000024,pay_000024,order_000024,14645.13,292.9,52.72,0.0,14299.51,2026-08-05,UTR100024
stl_000025,pay_000025,order_000025,1622.7,32.45,5.84,0.0,1584.41,2026-08-10,UTR100025
stl_000026,pay_000026,order_000026,19440.17,388.8,69.98,0.0,18981.39,2026-08-05,UTR100026
stl_000027,pay_000027,order_000027,21455.28,429.11,77.24,0.0,20948.93,2026-08-06,UTR100027
stl_000028,pay_000028,order_000028,9813.09,196.26,35.33,0.0,9581.5,2026-08-17,UTR100028
stl_000029,pay_000029,order_000029,16074.27,321.49,57.87,0.0,15694.91,2026-08-14,UTR100029
stl_000030,pay_000030,order_000030,4485.03,89.7,16.15,0.0,4379.18,2026-08-14,UTR100030
stl_000031,pay_000031,order_000031,5632.92,112.66,20.28,0.0,5499.98,2026-08-11,UTR700007
stl_000032,pay_000032,order_000032,17694.6,353.89,63.7,0.0,17277.01,2026-08-23,UTR100032
stl_000033,pay_000033,order_000033,2249.36,44.99,8.1,0.0,2196.27,2026-08-23,UTR100033
stl_000034,pay_000034,order_000034,4692.9,93.86,16.89,0.0,4582.15,2026-08-10,UTR100034
stl_000035,pay_000035,order_000035,4503.36,90.07,16.21,1125.84,3271.24,2026-08-15,UTR100035
stl_000036,pay_000036,order_000036,7113.72,142.27,25.61,0.0,6945.84,2026-08-23,UTR100036
stl_000037,pay_000037,order_000037,17359.97,347.2,62.5,0.0,16950.27,2026-08-10,UTR100037
stl_000038,pay_000038,order_000038,17273.05,345.46,62.18,0.0,16865.41,2026-08-04,UTR100038
stl_000039,pay_000039,order_000039,6111.68,122.23,22.0,0.0,5967.45,2026-08-04,UTR100039
stl_000040,pay_000040,order_000040,20223.62,404.47,72.8,0.0,19746.35,2026-08-15,UTR100040
stl_000041,pay_000041,order_000041,7059.65,141.19,25.41,0.0,6893.05,2026-08-09,UTR100041
stl_000042,pay_000042,order_000042,22871.84,457.44,82.34,0.0,22332.06,2026-08-21,UTR100042
stl_000043,pay_000043,order_000043,21971.01,439.42,79.1,0.0,21452.49,2026-08-13,UTR700043
stl_000044,pay_000044,order_000044,5709.35,114.19,20.55,0.0,5574.61,2026-08-18,UTR100044
stl_000045,pay_000045,order_000045,10192.98,203.86,36.69,0.0,9952.43,2026-08-23,UTR100045
stl_000046,pay_000046,order_000046,11741.87,234.84,42.27,0.0,11464.76,2026-08-11,UTR100046
stl_000047,pay_000047,order_000047,3920.94,78.42,14.12,0.0,3828.4,2026-08-20,UTR100047
stl_000048,pay_000048,order_000048,13704.94,274.1,49.34,0.0,13381.5,2026-08-21,UTR100048
stl_000049,pay_000049,order_000049,10996.63,219.93,39.59,0.0,10737.11,2026-08-21,UTR100049
stl_000050,pay_000050,order_000050,10285.31,205.71,37.03,0.0,10042.57,2026-08-10,UTR100050
stl_000051,pay_000051,order_000051,24934.48,498.69,89.76,0.0,24346.03,2026-08-07,UTR100051
stl_000052,pay_000052,order_000052,12983.39,259.67,46.74,0.0,12676.98,2026-08-05,UTR100052
stl_000053,pay_000053,order_000053,19016.66,380.33,68.46,0.0,18567.87,2026-08-06,UTR100053
stl_000054,pay_000054,order_000054,4244.61,84.89,15.28,0.0,4144.44,2026-08-08,UTR100054
stl_000055,pay_000055,order_000055,19905.94,398.12,71.66,0.0,19436.16,2026-08-16,UTR700043
stl_000056,pay_000056,order_000056,15112.02,302.24,54.4,0.0,14755.38,2026-08-15,UTR100056
stl_000057,pay_000057,order_000057,9849.67,196.99,35.46,0.0,9617.22,2026-08-17,UTR100057
stl_000058,pay_000058,order_000058,13463.3,269.27,48.47,0.0,13145.56,2026-08-20,UTR100058
stl_000059,pay_000059,order_000059,21589.1,431.78,77.72,0.0,21079.6,2026-08-03,UTR100059
stl_000060,pay_000060,order_000060,17166.94,343.34,61.8,0.0,16761.8,2026-08-06,UTR100060
stl_000061,pay_000061,order_000061,17201.9,344.04,61.93,0.0,16795.93,2026-08-20,UTR100061
